title,url,release_date,critic_score,audience_score,release_year,title_clean,id,popularity,vote_count,vote_average,overview
Gods of the Plague,https://www.rottentomatoes.com/m/gods_of_the_plague,1970,83.0,47.0,1970.0,gods of the plague,10244,0.511,29,5.6,"After his release from prison, ex-convict Franz Walsch finds his way back into the Munich criminal underworld. His attentions focus upon two women, Joanna and Margarethe, as well as upon Günther, his friend who earlier shot his brother."
Last Tango in Paris,https://www.rottentomatoes.com/m/last_tango_in_paris,"Released Oct 14, 1972",82.0,75.0,1972.0,last tango in paris,1643,3.3211,1331,6.9,A recently widowed American begins an anonymous sexual relationship with a young Parisian woman.
Straw Dogs,https://www.rottentomatoes.com/m/straw_dogs,"Released Dec 29, 1971",82.0,82.0,1971.0,straw dogs,994,2.9223,1045,7.166,"David Sumner, a mild-mannered academic from the United States, marries Amy, an Englishwoman. In order to escape a hectic stateside lifestyle, David and his wife relocate to the small town in rural Cornwall where Amy was raised. There, David is ostracized by the brutish men of the village, including Amy's old flame, Charlie. Eventually the taunts escalate."
The Deep End,https://www.rottentomatoes.com/m/deep_end,"Released Aug 1, 2001",82.0,59.0,2001.0,the deep end,24936,1.0952,155,6.2,"With her husband Jack perpetually away at work, Margaret Hall raises her children virtually alone. Her teenage son is testing the waters of the adult world, and early one morning she wakes to find the dead body of his gay lover on the beach of their rural lakeside home. What would you do? What is rational and what do you do to protect your child? How far do you go and when do you stop?"
Where's Poppa?,https://www.rottentomatoes.com/m/wheres_poppa,"Released Jan 1, 1970",82.0,69.0,1970.0,wheres poppa,42569,1.6613,48,6.0,"When New York attorney Gordon Hocheiser meets Louise Callan, the girl of his dreams, he schemes to eliminate his aging, senile mother, even though he promised his late father that he'd always take care of her. He fears that his batty mom's eccentricities will shortly lead to Louise's departure."
Performance,https://www.rottentomatoes.com/m/performance,"Released Aug 3, 1970",82.0,78.0,1970.0,performance,26606,1.3,196,6.8,"In underworld terms, Chas Devlin is a 'performer,' a gangster with a talent for violence and intimidation. Turner is a reclusive rock superstar. When Chas and Turner meet, their worlds collide—and the impact is both exotic and explosive."
Diary of a Mad Housewife,https://www.rottentomatoes.com/m/diary_of_a_mad_housewife,"Released Aug 10, 1970",82.0,81.0,1970.0,diary of a mad housewife,31677,0.8248,42,6.1,"Tina Balser is a bored New York housewife-mother married to Jonathan, a pompous, social-climbing lawyer who ridicules her in front of their children, criticizing everything she does or wears. She begins an affair with George Prager, a dashing, successful, and blatantly sadistic writer."
The Owl and the Pussycat,https://www.rottentomatoes.com/m/owl_and_the_pussycat,"Released Nov 3, 1970",82.0,64.0,1970.0,the owl and the pussycat,42597,1.2411,66,6.2,"Meek, owlish Felix and strident, catty Doris live in the same apartment building. His incessant typing bothers her; her gentlemen callers bother him. Felix informs the landlord of her activities, so Doris moves in on Felix. When they both get thrown out, they move in with Barney... until they drive him out! That's when Felix and Doris finally decide to put theory into practice. But do opposites attract?"
Minnie and Moskowitz,https://www.rottentomatoes.com/m/minnie_and_moskowitz,"Released Dec 22, 1971",82.0,85.0,1971.0,minnie and moskowitz,24349,0.7368,104,6.7,"Depressed and jaded after being dumped by her married boyfriend, aging beauty Minnie Moore wonders if she'll ever find love.  After shaggy-haired parking lot attendant Seymour Moskowitz comes to her defense from an angry and rebuffed blind date, he falls hopelessly in love with her despite their myriad differences.  Minnie reluctantly agrees to a date with Moskowitz, and, slowly but surely, an unlikely romance blossoms between the two."
There Was a Crooked Man,https://www.rottentomatoes.com/m/there_was_a_crooked_man,"Released Dec 25, 1970",82.0,72.0,1970.0,there was a crooked man,27172,1.0122,134,6.806,"A charming but ruthless criminal is sent to a remote Arizona prison, where he enlists the help of his cellmates in an escape attempt with the promise of sharing his hidden loot."
The Breach,https://www.rottentomatoes.com/m/the_breach,2022,82.0,26.0,2022.0,the breach,805473,0.8596,43,4.6,"John Hawkins  is set to retire from his post as police chief of the small town of Lone Crow, that is tucked away in the deep woods of northern Ontario. But following the discovery of a gruesome body with uncanny injuries, he’s pulled into an investigation to solve the horrifying mystery, which evades explanation."
The Paper Chase,https://www.rottentomatoes.com/m/paper_chase,"Released Oct 16, 1973",81.0,72.0,1973.0,the paper chase,14328,0.7822,116,6.7,A first-year law student struggles with balancing his coursework and his relationship with the daughter of a stern professor.
O Lucky Man!,https://www.rottentomatoes.com/m/o_lucky_man,1973,81.0,87.0,1973.0,o lucky man,42464,1.3235,111,6.8,An ambitious coffee salesman has a series of improbable and ironic adventures seemingly designed to challenge his naive idealism.
Catch-22,https://www.rottentomatoes.com/m/catch22,"Released Jun 24, 1970",81.0,76.0,1970.0,catch22,10364,1.9691,350,6.7,A WWII military pilot makes a valiant effort to be certified insane in order to be excused from flying missions. But there's a catch.
Fiddler on the Roof,https://www.rottentomatoes.com/m/fiddler_on_the_roof,"Released Jan 1, 1971",81.0,92.0,1971.0,fiddler on the roof,14811,3.3779,627,7.749,"In a pre-revolutionary Russia, a poor Jewish milkman struggles with the challenges of a changing world as his daughters fall in love and antisemitism grows."
The Hired Hand,https://www.rottentomatoes.com/m/hired_hand,"Released Jan 1, 1971",81.0,75.0,1971.0,the hired hand,42522,0.7565,77,6.1,"Harry Collings returns home to his farm after drifting with his friend, Arch. His wife, who had given up on him, reluctantly allows him to stay, and soon believes that all will be well again. But then Harry has to make a difficult decision regarding his loyalties and priorities."
The Life and Times of Judge Roy Bean,https://www.rottentomatoes.com/m/life_and_times_of_judge_roy_bean,"Released Dec 18, 1972",80.0,74.0,1972.0,the life and times of judge roy bean,33638,0.9785,173,6.454,"Outlaw and self-appointed lawmaker Judge Roy Bean rules over an empty stretch of the West that gradually grows, under his iron fist, into a thriving town, while dispensing his his own quirky brand of frontier justice upon strangers passing by."
Vampire Circus,https://www.rottentomatoes.com/m/vampire_circus,1972,80.0,64.0,1972.0,vampire circus,29960,1.1079,128,5.8,"After a spate of murders, the villagers of Schtettel kill the depraved perpetrator, Count Mitterhouse. Fifteen years later the Circus of Nights appeared in the plague-ridden village and its performers include Mitterhouse's mistress, children and cousins. They have come to Schtettel to fulfil the Count's last words, an evil, vicious curse of death and destruction on those who participated in his impaling. The children of Schtettel become the targets for a brutal and devastating revenge as the Vampire Circus rehearses for its most deadly performance."
Rider on the Rain,https://www.rottentomatoes.com/m/rider_on_the_rain,1970,80.0,63.0,1970.0,rider on the rain,27889,0.7364,99,6.3,A US Army colonel in France tries to track down an escaped sex maniac.
Joe Kidd,https://www.rottentomatoes.com/m/joe_kidd,1972,80.0,54.0,1972.0,joe kidd,14881,1.91,406,6.4,"A band of Mexicans find their U. S. land claims denied and all the records destroyed in a courthouse fire. Their leader, Louis Chama, encourages them to use force to regain their land. A wealthy landowner wanting the same decides to hire a gang of killers with Joe Kidd to track Chama."
"Now You See Him, Now You Don't",https://www.rottentomatoes.com/m/now_you_see_him_now_you_dont,1972,80.0,57.0,1972.0,now you see him now you dont,24236,1.1576,66,6.2,"Dexter Riley is a science student at Medfield College who inadvertently invents a liquid capable of rendering objects and people invisible. Before Dexter and his friends, Debbie and Richard Schuyler, can even enjoy their spectacular discovery, corrupt businessman A.J. Arno plots to get his greedy hands on it. Slapstick hijinks ensue as Dexter and his pals try to thwart the evil Arno before he can use the invisibility spray to rob a bank."
Cleopatra Jones,https://www.rottentomatoes.com/m/cleopatra_jones,1973,80.0,44.0,1973.0,cleopatra jones,26196,1.1507,72,5.6,"After federal agent Cleopatra Jones orders the burning of a Turkish poppy field, the notorious drug lord Mommy vows to destroy her."
Kelly's Heroes,https://www.rottentomatoes.com/m/kellys_heroes,"Released Jun 23, 1970",79.0,88.0,1970.0,kellys heroes,11589,2.5659,804,7.354,A misfit group of World War II American soldiers goes AWOL to rob a bank behind German lines.
Charlotte's Web,https://www.rottentomatoes.com/m/charlottes_web,"Released Dec 15, 2006",79.0,62.0,2006.0,charlottes web,9986,2.6328,1446,6.23,"Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen."
Summer of '42,https://www.rottentomatoes.com/m/summer_of_42,"Released Apr 9, 1971",79.0,73.0,1971.0,summer of 42,41357,2.0084,159,6.7,"Over the summer of 1942 on Nantucket Island, three friends -- Hermie, Oscy and Benjie -- are more concerned with getting laid than anything else. Hermie falls in love with the married Dorothy, whose husband is an army pilot recently sent to the battlefront of World War II."
Avanti!,https://www.rottentomatoes.com/m/avanti,"Released Dec 17, 1972",79.0,76.0,1972.0,avanti,12530,1.0701,262,6.9,"A successful businessman travels to Italy to arrange for the return of his tycoon father's body, only to learn that dear old dad died with his longtime mistress."
Vanishing Point,https://www.rottentomatoes.com/m/vanishing_point,"Released Jan 15, 1971",79.0,81.0,1971.0,vanishing point,11951,1.5967,509,7.094,"Kowalski works for a car delivery service, and takes delivery of a 1970 Dodge Challenger to drive from Colorado to San Francisco. Shortly after pickup, he takes a bet to get the car there in less than 15 hours."
Coffy,https://www.rottentomatoes.com/m/coffy,"Released Jun 13, 1973",79.0,75.0,1973.0,coffy,22021,1.4238,287,6.6,"After her younger sister gets involved in drugs and is severely injured by contaminated heroin, a nurse sets out on a mission of vengeance and vigilante justice, killing drug dealers, pimps, and mobsters who cross her path."
The Beguiled,https://www.rottentomatoes.com/m/the_beguiled,"Released Jun 30, 2017",78.0,48.0,2017.0,the beguiled,399019,1.648,2228,5.926,"During the Civil War, at a Southern girls’ boarding school, young women take in an injured enemy soldier. As they provide refuge and tend to his wounds, the house is taken over with sexual tension and dangerous rivalries, and taboos are broken in an unexpected turn of events."
The Exorcist,https://www.rottentomatoes.com/m/the_exorcist,"Released Dec 26, 1973",78.0,87.0,1973.0,the exorcist,9552,11.2769,8559,7.741,"When a mysterious entity possesses a young girl, her mother seeks the help of two Catholic priests to save her life."
The Hot Rock,https://www.rottentomatoes.com/m/hot_rock,"Released Jan 26, 1972",78.0,69.0,1972.0,the hot rock,46059,1.4171,125,6.564,Dortmunder and his pals plan to steal a huge diamond from a museum. But this turns out to be only the first time they have to steal it...
The Ruling Class,https://www.rottentomatoes.com/m/ruling_class,"Released Sep 13, 1972",77.0,85.0,1972.0,the ruling class,30892,1.1568,94,6.4,"When the Earl of Gurney dies in a cross-dressing accident, his schizophrenic son, Jack, inherits the Gurney estate. Jack is not the average nobleman; he sings and dances across the estate and thinks he is Jesus reincarnated. Believing that Jack is mentally unfit to own the estate, the Gurney family plots to steal Jack's inheritance. As their outrageous schemes fail, the family strives to cure Jack of his bizarre behavior, with disastrous results."
The Anderson Tapes,https://www.rottentomatoes.com/m/anderson_tapes,1971,76.0,53.0,1971.0,the anderson tapes,30941,1.4669,179,6.123,"Thief Duke Anderson—just released from ten years in jail—takes up with his old girlfriend in her posh apartment block, and makes plans to rob the entire building. What he doesn't know is that his every move is being recorded on audio and video, although he is not the subject of any surveillance."
Beyond the Valley of the Dolls,https://www.rottentomatoes.com/m/beyond_the_valley_of_the_dolls,"Released Jun 17, 1970",76.0,72.0,1970.0,beyond the valley of the dolls,5722,1.2779,210,6.1,"An all-girl rock band moves to Hollywood in the hope of achieving success, only to fall into a whirlpool of wickedness and decadence."
Escape From the Planet of the Apes,https://www.rottentomatoes.com/m/escape_from_the_planet_of_the_apes,"Released May 21, 1971",76.0,53.0,1971.0,escape from the planet of the apes,1687,3.2003,1205,6.4,"The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a spacecraft. Intrigued by their intelligence, humans use them for research - until the apes attempt to escape."
The Vampire Lovers,https://www.rottentomatoes.com/m/vampire_lovers,"Released Oct 22, 1970",76.0,60.0,1970.0,the vampire lovers,31952,2.0243,215,6.349,"In the heart of Styria the Karnstein Family, even after their mortal deaths, rise from their tombs spreading evil in the countryside in their lust for fresh blood. Baron Hartog whose family are all victims of Karnstein vampirism, opens their graves and drives a stake through their diabolical hearts. One grave he cannot locate is that of the legendary beautiful Mircalla Karnstein. Years of peace follow that grisly night until Mircalla reappears to avenge her family's decimation and satisfy her desire for blood."
The Spook Who Sat by the Door,https://www.rottentomatoes.com/m/the_spook_who_sat_by_the_door,"Released Sep 21, 1973",75.0,83.0,1973.0,the spook who sat by the door,62330,0.5158,32,6.2,"A black man plays Uncle Tom in order to gain access to CIA training, then uses that knowledge to plot a new American Revolution."
Big Jake,https://www.rottentomatoes.com/m/big_jake,"Released May 26, 1971",75.0,85.0,1971.0,big jake,21717,2.9839,238,6.9,An aging Texas cattle man who has outlived his time swings into action when outlaws kidnap his grandson.
The Cowboys,https://www.rottentomatoes.com/m/cowboys,"Released Jan 13, 1972",75.0,88.0,1972.0,the cowboys,15573,3.1165,261,7.1,"When his cattlemen abandon him for the gold fields, rancher Wil Andersen is forced to take on a collection of young boys as his cowboys in order to get his herd to market in time to avoid financial disaster. The boys learn to do a man's job under Andersen's tutelage, however, neither he nor the boys know that a gang of cattle thieves is stalking them."
The Last American Hero,https://www.rottentomatoes.com/m/last_american_hero,1973,75.0,52.0,1973.0,the last american hero,31605,1.0385,39,5.7,A young hell raiser quits his moonshine business and tries to become the best NASCAR racer the south has ever seen. Loosely based on the true story of NASCAR driver Junior Johnson.
Airport,https://www.rottentomatoes.com/m/airport,"Released Apr 5, 1970",75.0,54.0,1970.0,airport,10671,2.4726,438,6.5,"An airport manager tries to keep his terminals open during a snowstorm, while a suicide bomber plots to blow up a Boeing 707 airliner in flight."
The Hellstrom Chronicle,https://www.rottentomatoes.com/m/hellstrom_chronicle,"Released Jun 28, 1971",75.0,87.0,1971.0,the hellstrom chronicle,17875,0.388,32,6.4,A scientist explains how the savagery and efficiency of the insect world could result in their taking over the world.
Schlock,https://www.rottentomatoes.com/m/schlock,1973,75.0,45.0,1973.0,schlock,54123,0.6812,67,5.6,"A quiet suburb in Southern California is terrorized by a mysterious murderous monster living in a cave. As the bodies pile up -- with incriminating banana peels always near by the crime scene -- a group of teens stumble on the guilty party: a 20-million-year-old Schlockthropus, an ape-like creature with a sense of the absurd."
Kotch,https://www.rottentomatoes.com/m/kotch,"Released Sep 17, 1971",75.0,68.0,1971.0,kotch,76002,0.7391,32,6.5,"When retired salesman Joseph Kotcher begins to feel pressure to move out of the house he shares with the family of his son, he opts to embark on a road trip instead of settling in a retirement home. Befriending Erica, a young pregnant woman and his grandson's former nanny, Kotch begins to finds new meaning in life as he helps her prepare to welcome her baby into the world."
Child's Play,https://www.rottentomatoes.com/m/childs_play,"Released Nov 9, 1988",74.0,65.0,1988.0,childs play,10585,6.4267,3296,6.74,"After being shot in a toy store, a serial killer transfers his soul into a Good Guy doll. A mother then gifts it to her 6-year old son Andy, which unleashes terror upon the city."
The Blood on Satan's Claw,https://www.rottentomatoes.com/m/the_blood_on_satans_claw,"Released Apr 14, 1971",73.0,58.0,1971.0,the blood on satans claw,26774,1.7672,163,6.2,"After a landsman in 18th century England discovers a corpse covered in fur buried in a field, the town becomes infected by ""the devil's skin,"" leading the local children to engage in demonic rituals and criminal behavior."
Sweet Sweetback's Baadasssss Song,https://www.rottentomatoes.com/m/sweet_sweetbacks_baadasssss_song,"Released Apr 23, 1971",73.0,48.0,1971.0,sweet sweetbacks baadasssss song,5822,0.6063,117,5.2,"After saving a Black Panther from some racist cops, a black male prostitute goes on the run from ""the man"" with the help of the ghetto community and some disillusioned Hells Angels."
Lawman,https://www.rottentomatoes.com/m/lawman,1971,73.0,63.0,1971.0,lawman,42500,1.8383,131,6.462,"While passing through the town of Bannock, a bunch of drunken cattlemen go overboard with their celebrating and accidentally kill an old man with a stray shot. They return home to Sabbath unaware of his death. Bannock lawman Jered Maddox later arrives there to arrest everyone involved on a charge of murder. Sabbath is run by land baron Vince Bronson, a benevolent despot, who, upon hearing of the death, offers restitution for the incident."
The Great Northfield Minnesota Raid,https://www.rottentomatoes.com/m/great_northfield_minnesota_raid,"Released Jun 14, 1972",73.0,44.0,1972.0,the great northfield minnesota raid,27349,0.7747,54,5.6,"The gangs of Jesse James and Cole Younger join forces to rob the First National Bank in Northfield, Minnesota, but things do not go as planned."
The Offence,https://www.rottentomatoes.com/m/offence,1973,71.0,72.0,1973.0,the offence,32615,0.9961,168,6.8,A burned-out British police detective finally snaps while interrogating a suspected child molester.
Soylent Green,https://www.rottentomatoes.com/m/soylent_green,"Released May 9, 1973",71.0,70.0,1973.0,soylent green,12101,2.9541,1398,6.9,"In the year 2022, overcrowding, pollution,  and resource depletion have reduced society’s leaders to finding food for the teeming masses. The answer is Soylent Green."
Le Mans,https://www.rottentomatoes.com/m/le_mans,"Released Jun 23, 1971",71.0,79.0,1971.0,le mans,5920,2.0801,264,6.773,"Filmed during the annual 24-hour endurance race at Le Mans, Michael Delaney is a Porsche driver haunted by the memory of an accident at the previous year's race in which a competing driver was killed. Delaney also finds himself increasingly infatuated with the man's widow."
Little Murders,https://www.rottentomatoes.com/m/little_murders,"Released Feb 9, 1971",71.0,80.0,1971.0,little murders,27459,0.7668,68,6.706,"A young nihilistic New Yorker copes with pervasive urban violence, obscene phone calls, rusty water pipes, electrical blackouts, paranoia, and ethnic-racial conflict during a typical summer of the 1970s."
Two Mules for Sister Sara,https://www.rottentomatoes.com/m/two_mules_for_sister_sara,1970,71.0,73.0,1970.0,two mules for sister sara,11916,2.7372,658,7.0,"When a wandering mercenary named Hogan rescues a nun called Sister Sara from the unwanted attentions of a band of rogues on the Mexican plains, he has no idea what he has let himself in for. Their chance encounter results in the blowing up of a train and a French garrison, as well as igniting a spark between them that survives a shocking discovery."
Prime Cut,https://www.rottentomatoes.com/m/prime_cut,1972,71.0,72.0,1972.0,prime cut,27292,1.3036,120,6.388,A group of ruthless Chicago mob enforcers are sent to Kansas City to settle things with the owner of a slaughterhouse who has taken money that is not his to keep.
Silent Running,https://www.rottentomatoes.com/m/silent_running,"Released Mar 10, 1972",71.0,66.0,1972.0,silent running,811,1.4445,633,6.4,"After the entire flora goes extinct, ecologist Lowell maintains a greenhouse aboard a space station for the future with his android companions. However, he rebels after being ordered to destroy the greenhouse in favor of carrying cargo, a decision that puts him at odds with everyone but his mechanical companions."
Blume in Love,https://www.rottentomatoes.com/m/blume_in_love,1973,70.0,53.0,1973.0,blume in love,109259,0.7938,22,5.7,"Lawyer Stephen Blume, who specializes in divorces, lives a paradoxical situation when, having his own marriage break up, is still in love with his ex-wife."
Rio Lobo,https://www.rottentomatoes.com/m/rio_lobo,"Released Dec 18, 1970",70.0,70.0,1970.0,rio lobo,26593,2.3592,283,6.463,"After the Civil War, a former Union colonel searches for the two traitors whose perfidy led to the loss of a close friend."
The Devils,https://www.rottentomatoes.com/m/the_devils,"Released Jul 16, 1971",70.0,88.0,1971.0,the devils,31767,2.9821,429,7.5,"A charismatic 17th-century French priest becomes the target of a sexually obsessed nun’s witchcraft accusations, which corrupt church and state officials are all too happy to exploit.​​​​​​​​​​​​​​​​"
The King of Marvin Gardens,https://www.rottentomatoes.com/m/king_of_marvin_gardens,"Released Oct 12, 1972",70.0,58.0,1972.0,the king of marvin gardens,50627,0.8754,95,5.853,"Jason Staebler lives on the Boardwalk and fronts for the local mob in Atlantic City. He is a dreamer who asks his brother David, a radio personality from Philadelphia, to help him build a paradise on a Pacific Island, which might be just another of his pie-in-the-sky schemes. Inevitably, complications begin to pile up."
Butterflies Are Free,https://www.rottentomatoes.com/m/butterflies_are_free,"Released Jul 6, 1972",69.0,80.0,1972.0,butterflies are free,55106,0.9048,86,6.7,"Striving to be independent, the blind but determined Don Baker moves away from his overprotective mother. After settling into his new San Francisco digs, Don meets kooky neighbor Jill Tanner. Don's quick wit and good looks disarm the free-spirited Jill, and before long they're more than just friends. Will Mrs. Baker's incessant meddling destroy Don and Jill's budding relationship?"
1776,https://www.rottentomatoes.com/m/1776,"Released Nov 17, 1972",68.0,84.0,1972.0,1776,14902,1.0146,83,6.849,Colonial representatives gather in Philadelphia with the aim of establishing a set of governmental rules for the burgeoning United States. Benjamin Franklin and John Adams charge Thomas Jefferson with the task of writing a statement announcing the new country's emancipation from British rule.
The Andromeda Strain,https://www.rottentomatoes.com/m/andromeda_strain,"Released Mar 12, 1971",68.0,72.0,1971.0,the andromeda strain,10514,2.098,775,7.0,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents."
Godzilla vs. Gigan,https://www.rottentomatoes.com/m/godzilla_vs_gigan,1972,67.0,48.0,1972.0,godzilla vs gigan,19336,2.1624,225,6.384,"Manga artist Gengo Odaka lands a job with the World Children's Land amusement park only to become suspicious of the organization when a garbled message is discovered on tapes. As Gengo and his team investigate, Godzilla and Anguirus quickly decipher the message and begin their own plan of action."
Hickey & Boggs,https://www.rottentomatoes.com/m/hickey_and_boggs,"Released Oct 4, 1972",67.0,57.0,1972.0,hickey boggs,85126,0.7139,39,5.846,Two veteran private eyes trigger a criminal reign of terror with their search for a missing girl. |  Al Hickey (Cosby) & Frank Boggs (Culp) are two jaded private investigators who get hired to find a missing woman and quickly find themselves submerged in a world of murder and untruths.
Johnny Got His Gun,https://www.rottentomatoes.com/m/johnny_got_his_gun,1971,67.0,86.0,1971.0,johnny got his gun,16328,1.3654,410,7.5,"A young American soldier, rendered in pseudocoma from an artillery shell from WWI, recalls his life leading up to that point."
Magnum Force,https://www.rottentomatoes.com/m/magnum_force,1973,67.0,78.0,1973.0,magnum force,10648,2.4619,1183,7.1,"""Dirty"" Harry Callahan is a San Francisco Police Inspector on the trail of a group of rogue cops who have taken justice into their own hands. When shady characters are murdered one after another in grisly fashion, only Dirty Harry can stop them."
Bedknobs and Broomsticks,https://www.rottentomatoes.com/m/bedknobs_and_broomsticks,"Released Oct 7, 1971",67.0,74.0,1971.0,bedknobs and broomsticks,12335,2.3246,1015,7.0,Three children evacuated from London during World War II are forced to stay with an eccentric spinster. The children's initial fears disappear when they find out she is in fact a trainee witch.
Live and Let Die,https://www.rottentomatoes.com/m/live_and_let_die,"Released Jun 27, 1973",67.0,64.0,1973.0,live and let die,253,4.6651,2266,6.504,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.
White Lightning,https://www.rottentomatoes.com/m/white_lightning,1973,67.0,61.0,1973.0,white lightning,4984,1.0366,107,6.089,An ex-con teams up with federal agents to help them with breaking up a moonshine ring.
Pete 'n' Tillie,https://www.rottentomatoes.com/m/pete_n_tillie,"Released Dec 17, 1972",67.0,72.0,1972.0,pete n tillie,107774,0.6894,21,5.8,"A fun-loving bachelor woos and weds a secretary, but the bonds of this marriage aren't strong enough to stop his philandering from continuing."
Solaris,https://www.rottentomatoes.com/m/solaris,"Released Nov 27, 2002",66.0,59.0,2002.0,solaris,2103,3.1061,1427,5.946,A troubled psychologist is sent to investigate the crew of an isolated research station orbiting a bizarre planet.
Husbands,https://www.rottentomatoes.com/m/husbands,1970,66.0,79.0,1970.0,husbands,52105,0.8405,159,6.73,"A common friend's sudden death brings three men, married with children, to reconsider their lives and ultimately leave the country together. But mindless enthusiasm for regained freedom will be short-lived."
The Sword in the Stone,https://www.rottentomatoes.com/m/sword_in_the_stone,"Released Dec 25, 1963",66.0,73.0,1963.0,the sword in the stone,9078,5.0007,4074,7.22,"Wart is a young boy who aspires to be a knight's squire. On a hunting trip he falls in on Merlin, a powerful but amnesiac wizard who has plans for him beyond mere squiredom. He starts by trying to give him an education, believing that once one has an education, one can go anywhere. Needless to say, it doesn't quite work out that way."
The Legend of Hell House,https://www.rottentomatoes.com/m/legend_of_hell_house,1973,65.0,56.0,1973.0,the legend of hell house,16180,0.9996,273,6.6,"A team consisting of a physicist, his wife, a young female psychic, and the only survivor of the previous visit are sent to the notorious Hell House to prove or disprove survival after death. Previous visitors have either been killed or gone mad, and it is up to the team to survive a full week in isolation, and solve the mystery of the Hell House."
The Omega Man,https://www.rottentomatoes.com/m/omega_man,"Released Aug 1, 1971",65.0,53.0,1971.0,the omega man,11234,3.2853,605,6.2,"Due to an experimental vaccine, Dr. Robert Neville is the only human survivor of an apocalyptic war waged with biological weapons. Besides him, only a few hundred deformed, nocturnal people remain; sensitive to light, and homicidally psychotic."
Zabriskie Point,https://www.rottentomatoes.com/m/zabriskie_point,"Released Feb 9, 1970",64.0,74.0,1970.0,zabriskie point,2998,1.6663,433,7.0,"Anthropology student Daria, who's helping a property developer build a village in the Los Angeles desert, and dropout Mark, who's wanted by the authorities for allegedly killing a policeman during a student riot, accidentally encounter each other in Death Valley and soon begin an unrestrained romance."
Black Caesar,https://www.rottentomatoes.com/m/black_caesar,"Released Feb 7, 1973",64.0,63.0,1973.0,black caesar,22029,1.0348,82,5.8,"Raised in Harlem, Tommy Gibbs becomes a successful mob boss but he clashes with the rival Mafia and his old enemy, dirty cop McKinney."
The Aristocats,https://www.rottentomatoes.com/m/aristocats,"Released Dec 24, 1970",64.0,70.0,1970.0,the aristocats,10112,7.5105,5332,7.296,"When Madame Adelaide Bonfamille leaves her fortune to Duchess and her children—Bonfamille’s beloved family of cats—the butler plots to steal the money and kidnaps the legatees, leaving them out on a country road. All seems lost until the wily Thomas O’Malley Cat and his jazz-playing alley cats come to the aristocats’ rescue."
The Way We Were,https://www.rottentomatoes.com/m/way_we_were,"Released Oct 17, 1973",64.0,81.0,1973.0,the way we were,10236,2.3965,507,7.0,"Opposites attract when, during their college days, Katie Morosky, a politically active Jew, meets Hubbell Gardiner, a feckless WASP. Years later, in the wake of World War II, they meet once again and, despite their obvious differences, attempt to make their love for each other work."
Shaft in Africa,https://www.rottentomatoes.com/m/shaft_in_africa,1973,64.0,52.0,1973.0,shaft in africa,494,1.0472,79,6.1,"Detective John Shaft travels incognito to Ethiopia, then France, to bust a human trafficking ring."
Electra Glide in Blue,https://www.rottentomatoes.com/m/electra_glide_in_blue,1973,64.0,74.0,1973.0,electra glide in blue,26332,0.8981,99,6.9,"A short Arizona motorcycle cop gets his wish and is promoted to Homicide following the mysterious murder of a hermit. He is forced to confront his illusions about himself and those around him in order to solve the case, eventually returning to solitude in the desert."
Diamonds Are Forever,https://www.rottentomatoes.com/m/diamonds_are_forever,"Released Dec 17, 1971",64.0,57.0,1971.0,diamonds are forever,681,5.2524,2349,6.4,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who's guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.
10 Rillington Place,https://www.rottentomatoes.com/m/10_rillington_place,1971,64.0,84.0,1971.0,10 rillington place,26234,0.8916,211,7.273,"The story of British serial killer John Christie, who committed most or all of his crimes in the titular terraced house, and the miscarriage of justice involving Timothy Evans."
Godzilla vs. Hedorah,https://www.rottentomatoes.com/m/godzilla_vs_hedorah,1971,64.0,49.0,1971.0,godzilla vs hedorah,39464,2.8908,242,6.781,"An ever evolving alien life-form arrives on a comet from the Dark Gaseous Nebula and proceeds to consume pollution. Spewing mists of sulfuric acid and corrosive sludge, neither humanity nor Godzilla may be able to defeat this toxic menace."
Fritz the Cat,https://www.rottentomatoes.com/m/fritz_the_cat,"Released Jan 1, 1972",64.0,59.0,1972.0,fritz the cat,12593,1.2716,382,6.198,"In late 1960s New York City, fed up with monotonous college life and police repression, free-spirited Fritz, an impenitent seducer and unrestrained party-animal, decides to explore the world. And just like that, as he flees NYC, heading to San Francisco, Fritz embarks on an endless adventure of illumination. Immersed in a world surrounded by drugs and sex, Fritz participates in mad orgies, brings about a revolution, incites mass urban riots, and crosses paths with drug-addled Nazi bikers."
