title,url,release_date,critic_score,audience_score,release_year,title_clean,id,popularity,vote_count,vote_average,overview
The Honeymoon Killers,https://www.rottentomatoes.com/m/honeymoon_killers,"Released Feb 4, 1970",95.0,69.0,1970.0,the honeymoon killers,10237,0.6962,125,6.5,"Martha Beck, an obese nurse who is desperately lonely, joins a ""correspondence club"" and finds a romantic pen pal in Ray Fernandez. Martha falls hard for Ray, and is intent on sticking with him even when she discovers he's a con man who seduces lonely single women, kills them and then takes their money. She poses as Ray's sister and joins Ray on a wild killing spree, fueled by her lingering concern that Ray will leave her for one of his marks."
American Graffiti,https://www.rottentomatoes.com/m/american_graffiti,"Released Aug 11, 1973",95.0,84.0,1973.0,american graffiti,838,3.094,1563,7.035,A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.
Gimme Shelter,https://www.rottentomatoes.com/m/gimme_shelter,"Released Dec 6, 1970",94.0,91.0,1970.0,gimme shelter,132,1.2756,192,7.3,"A detailed chronicle of the famous 1969 tour of the United States by the British rock band The Rolling Stones, which culminated with the disastrous and tragic concert held on December 6 at the Altamont Speedway Free Festival, an event of historical significance, as it marked the end of an era: the generation of peace and love suddenly became the generation of disillusionment."
Mean Streets,https://www.rottentomatoes.com/m/mean_streets,"Released Jan 1, 1973",94.0,84.0,1973.0,mean streets,203,3.5384,2275,7.055,"A small-time hood must choose from among love, friendship and the chance to rise within the mob."
High Plains Drifter,https://www.rottentomatoes.com/m/high_plains_drifter,"Released Apr 19, 1973",94.0,86.0,1973.0,high plains drifter,11901,2.8851,1317,7.3,"A gunfighting stranger comes to the small settlement of Lago. After gunning down three gunmen who tried to kill him, the townsfolk decide to hire the Stranger to hold off three outlaws who are on their way."
The Ballad of Cable Hogue,https://www.rottentomatoes.com/m/ballad_of_cable_hogue,"Released May 13, 1970",94.0,81.0,1970.0,the ballad of cable hogue,23330,3.7929,220,7.0,"Double-crossed and left without water in the desert, Cable Hogue is saved when he finds a spring. It is in just the right spot for a much needed rest stop on the local stagecoach line, and Hogue uses this to his advantage. He builds a house and makes money off the stagecoach passengers. Hildy, a prostitute from the nearest town, moves in with him. Hogue has everything going his way until the advent of the automobile ends the era of the stagecoach."
Serpico,https://www.rottentomatoes.com/m/serpico,"Released Dec 5, 1973",93.0,88.0,1973.0,serpico,9040,4.4521,2162,7.528,New York cop Frank Serpico blows the whistle on the rampant corruption in the force only to have his comrades turn against him.
"Snoopy, Come Home",https://www.rottentomatoes.com/m/snoopy_come_home,"Released Aug 9, 1972",93.0,84.0,1972.0,snoopy come home,15242,0.7785,158,7.1,"When Snoopy receives a letter from his original owner Lila, he goes to visit her in the hospital while Charlie Brown and the gang are on the lookout for him. Suddenly, Snoopy feels that he must go live with Lila, but must say goodbye to all his friends. In his adventure to the hospital, he encounters numerous ""No Dogs Allowed"" signs, an annoying little girl who desires to keep him, and more!"
Don't Look Now,https://www.rottentomatoes.com/m/dont_look_now,"Released Dec 25, 1973",93.0,76.0,1973.0,dont look now,931,2.0492,1169,6.917,"While grieving a terrible loss, a married couple meet two mysterious sisters, one of whom gives them a message sent from the afterlife."
Two-Lane Blacktop,https://www.rottentomatoes.com/m/twolane_blacktop,"Released Jan 1, 1971",93.0,82.0,1971.0,twolane blacktop,27236,1.1007,250,6.9,A driver and mechanic drag racing for money cross paths with a female hitchhiker and a drifter who challenges them to a cross-country race.
Ganja & Hess,https://www.rottentomatoes.com/m/ganja_and_hess,"Released Apr 20, 1973",93.0,53.0,1973.0,ganja hess,83096,0.4225,66,5.8,"After being stabbed with an ancient, germ-infested knife, a doctor finds himself with an insatiable desire for blood."
Lady and the Tramp,https://www.rottentomatoes.com/m/lady_and_the_tramp,"Released Jun 22, 1955",93.0,80.0,1955.0,lady and the tramp,10340,5.6338,5612,7.12,"Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while."
Klute,https://www.rottentomatoes.com/m/klute,"Released Jun 23, 1971",93.0,80.0,1971.0,klute,466,2.1849,500,6.8,A high-priced call girl is forced to depend on a reluctant private eye when she is stalked by a psychopath.
The Landlord,https://www.rottentomatoes.com/m/landlord,"Released May 20, 1970",93.0,79.0,1970.0,the landlord,64828,0.9964,49,5.8,"At the age of twenty-nine, Elgar Enders ""runs away"" from home. This running away consists of buying a building in a black ghetto in the Park Slope section of Brooklyn. Initially, his intention is to evict the black tenants and convert the building into a posh flat. But Elgar is not one to be bound by yesterday's urges, and soon he has other thoughts on his mind."
Junior Bonner,https://www.rottentomatoes.com/m/junior_bonner,"Released Aug 2, 1972",92.0,62.0,1972.0,junior bonner,5927,0.7974,113,6.1,"With his bronco-busting career on its last legs, Junior Bonner heads to his hometown to try his luck in the annual rodeo. But his fond childhood memories are shattered when he finds his family torn apart by his greedy brother and hard-drinking father."
Cabaret,https://www.rottentomatoes.com/m/cabaret,"Released Feb 13, 1972",92.0,87.0,1972.0,cabaret,10784,2.6556,964,7.43,"Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally Bowles and an impish emcee sound the clarion call to decadent fun, while outside a certain political party grows into a brutal force."
Jeremiah Johnson,https://www.rottentomatoes.com/m/jeremiah_johnson,"Released Sep 10, 1972",91.0,89.0,1972.0,jeremiah johnson,11943,2.0891,681,7.3,A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by Indians when he proves to be the match of their warriors in one-on-one combat on the early frontier.
The Day of the Jackal,https://www.rottentomatoes.com/m/day_of_the_jackal,"Released Jul 30, 1973",91.0,88.0,1973.0,the day of the jackal,4909,3.649,667,7.525,"An international assassin known as ‘The Jackal’ is employed by disgruntled French generals to kill President Charles de Gaulle, with a dedicated gendarme on the assassin’s trail."
Frenzy,https://www.rottentomatoes.com/m/frenzy,"Released Jun 21, 1972",91.0,78.0,1972.0,frenzy,573,1.9763,1004,7.098,"London is terrorized by a vicious sex killer known as The Necktie Murderer. Following the brutal slaying of his ex-wife, down-on-his-luck Richard Blaney is suspected by the police of being the killer. He goes on the run, determined to prove his innocence."
Little Big Man,https://www.rottentomatoes.com/m/little_big_man,"Released Dec 14, 1970",91.0,87.0,1970.0,little big man,11040,1.8202,708,7.449,"Jack Crabb, looking back from extreme old age, tells of his life being raised by Indians and fighting with General Custer."
Patton,https://www.rottentomatoes.com/m/patton,"Released Jan 25, 1970",91.0,93.0,1970.0,patton,11202,2.7523,1201,7.5,"""Patton"" tells the tale of General George S. Patton, famous tank commander of World War II. The film begins with Patton's career in North Africa and progresses through the invasion of Germany and the fall of the Third Reich. Side plots also speak of Patton's numerous faults such his temper and habit towards insubordination."
Ulzana's Raid,https://www.rottentomatoes.com/m/ulzanas_raid,"Released Oct 18, 1972",90.0,67.0,1972.0,ulzanas raid,42491,1.1626,154,6.9,"After fierce war chief Ulzana and a small war party jump the reservation bent on murder and terror, an inexperienced young lieutenant is assigned to track him down."
The Last of Sheila,https://www.rottentomatoes.com/m/last_of_sheila,1973,90.0,84.0,1973.0,the last of sheila,26331,1.3881,165,7.0,"A year after Sheila is killed in a hit-and-run, her multimillionaire husband invites a group of friends to spend a week on his yacht playing a scavenger hunt-style mystery game—but the game turns out to be all too real and all too deadly."
Baxter,https://www.rottentomatoes.com/m/baxter,1989,90.0,83.0,1989.0,baxter,52794,0.7637,87,6.333,"A white Bull Terrier named Baxter is given to an elderly woman by her daughter. As time passes, the dog develops aggressive and murderous behavior in order to be adopted by another family."
Paper Moon,https://www.rottentomatoes.com/m/paper_moon,"Released May 9, 1973",90.0,94.0,1973.0,paper moon,11293,2.4198,819,7.9,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership."
Belladonna of Sadness,https://www.rottentomatoes.com/m/belladonna_of_sadness,1973,90.0,75.0,1973.0,belladonna of sadness,64847,2.5142,357,7.363,"An evil feudal lord rapes a village girl on her wedding night and proceeds to ruin her and her husband's lives. After she's eventually banished from her village, the girl makes a pact with the devil to gain magical ability and take revenge."
Wattstax,https://www.rottentomatoes.com/m/wattstax,"Released Feb 4, 1973",90.0,90.0,1973.0,wattstax,2261,0.7942,17,7.0,A documentary film about the Afro-American Woodstock concert held in Los Angeles seven years after the Watts riots. Director Mel Stuart mixes footage from the concert with footage of the living conditions in the current-day Watts neighborhood.
The Molly Maguires,https://www.rottentomatoes.com/m/molly_maguires,"Released Feb 8, 1970",90.0,62.0,1970.0,the molly maguires,42345,0.8484,81,6.309,"Schuylkill County, Pennsylvania, 1876. A secret society of Irish coal miners, bond by a sacred oath, put pressure on the greedy and ruthless company they work for by sabotaging mining facilities in the hope of improving their working conditions and the lives of their families."
